   MB       Rsize        avg              max                  min
  10.0  8.388608E7  581.358560771828  757.7803222790773  311.9174170768999
  10.0  8.388608E7  587.925047529637  756.1274873504599  348.91007070622425
  10.0  8.388608E7  589.9947705497028  759.7759885541706  343.4400135740708
  10.0  8.388608E7  575.4596380058211  740.374807830091  354.20108729809664
  10.0  8.388608E7  575.921583782029  753.5074293487943  293.1008805088482
  10.0  8.388608E7  571.0222238568012  738.7916728390145  329.8182608689468
  10.0  8.388608E7  586.2634306902471  760.8841286686173  318.1838009429847
  10.0  8.388608E7  586.4161061137523  761.1601719116434  321.8582302261474
  10.0  8.388608E7  583.5138736863488  754.5742815407357  327.35498811391113
  10.0  8.388608E7  571.8872319298277  745.560606728573  309.9576616366526
  10.0  8.388608E7  580.8938022510515  757.073145469884  308.8159918031004
  10.0  8.388608E7  569.8411900883617  740.2991752011574  320.93851398381196
  10.0  8.388608E7  579.4366371498797  751.8923313357499  323.4872439315729
  10.0  8.388608E7  575.24266890846  746.3457267064924  321.2205935392658
  10.0  8.388608E7  587.2437626758826  754.2474590592161  358.9375602362951
  10.0  8.388608E7  574.2919892671176  748.7861396580217  306.56382466402556
  10.0  8.388608E7  573.4830354830876  749.7431187640984  300.35701986667766
  10.0  8.388608E7  578.254515228977  747.6997123104131  330.486438222552
  10.0  8.388608E7  590.9436457582833  760.1218327371104  350.9441469321321
  10.0  8.388608E7  582.0112100074359  751.830516871425  332.7755079988384
  10.0  8.388608E7  572.7047373835057  744.001721373655  312.4335457146802
  10.0  8.388608E7  576.2951179190156  745.491793153744  331.7530614938771
  10.0  8.388608E7  590.3347163445608  763.5897231229152  328.78881742979536
  10.0  8.388608E7  574.4182340028358  748.9073878645211  307.34938219559524
  10.0  8.388608E7  586.7097818664427  756.5402174036989  337.94981239892974
  10.0  8.388608E7  584.3422095064141  757.6515027817873  322.92460116773987
  10.0  8.388608E7  563.6161252830763  739.8914267331071  288.33545396363354
  10.0  8.388608E7  578.4067804488078  750.9623474942778  314.57752421727037
  10.0  8.388608E7  570.1907486590427  742.6314726661448  311.11501315620086
  10.0  8.388608E7  572.7205193887713  745.1595194981062  316.48827115101017
  10.0  8.388608E7  572.8049874114269  751.0339787824425  291.1955175265437
  10.0  8.388608E7  578.2876887865716  750.6978749775529  319.7432620297495
  10.0  8.388608E7  573.5347905568842  742.4391000652084  330.0545336238883
  10.0  8.388608E7  581.1967649950327  753.3195064585562  324.6463294559075
  10.0  8.388608E7  585.8440107006501  756.3182151087316  334.08353749114457
  10.0  8.388608E7  581.5168653154997  745.3167820769194  380.4350488269588
  10.0  8.388608E7  574.2617314577869  747.6812645488485  312.87100974893326
  10.0  8.388608E7  583.4530241944037  758.8707676055144  315.3157114338287
  10.0  8.388608E7  587.608369605899  754.7365550847843  352.88883711701186
  10.0  8.388608E7  575.884543104437  751.2793961750273  300.99195279649433
  10.0  8.388608E7  563.8503502775777  741.7764581915692  286.1387813071525
  10.0  8.388608E7  574.8941807511203  748.6878929835327  309.5546247466906
  10.0  8.388608E7  575.96485116988  750.3988990042109  312.3615194574125
  10.0  8.388608E7  573.097116150291  752.1815904977075  291.14565090365033
  10.0  8.388608E7  573.8377084275137  746.8990907127037  311.990016142959
  10.0  8.388608E7  576.2902886871851  747.4832350326385  320.655890021072
  10.0  8.388608E7  582.3684021157172  753.4959293137669  327.50326926190877
  10.0  8.388608E7  565.3784241010987  736.0788200138187  315.0301573802925
  10.0  8.388608E7  569.6081908931328  743.6840322147556  305.37478311192893
  10.0  8.388608E7  576.3111618473869  748.0422615819909  323.49509853178137
  10.0  8.388608E7  565.7574372419584  744.8954082647698  283.85173747115755
  10.0  8.388608E7  576.7921491993073  750.748324113893  310.7053099035565
  10.0  8.388608E7  580.4645581855169  747.7414573635776  346.7149699940325
  10.0  8.388608E7  578.116893972059  743.7574603626714  352.90967347275887
  10.0  8.388608E7  582.5744973687464  752.9356070745474  333.96789704223806
  10.0  8.388608E7  592.3869978267243  756.0365392834187  381.43729656145075
  10.0  8.388608E7  583.0163730270418  750.5819545161099  346.036955940096
  10.0  8.388608E7  576.4837355428558  752.8804914668008  304.08623056142454
  10.0  8.388608E7  583.3658698651092  752.8756394378454  337.0550271337363
  10.0  8.388608E7  578.2703528633585  751.1012969571825  318.18989870253176
  10.0  8.388608E7  576.7571472313759  744.8567929923457  337.96515207678306
  10.0  8.388608E7  578.4575712447851  754.3939561170881  307.51217427772593
  10.0  8.388608E7  584.3469929551953  752.0265250039525  351.01398572579825
  10.0  8.388608E7  584.9018216374752  760.1200448293392  316.7879150502645
  10.0  8.388608E7  593.4438654314674  759.7870090638086  366.2851698887826
  10.0  8.388608E7  584.7301576264966  755.6712228677387  335.32620914110305
  10.0  8.388608E7  585.27127192786  750.0537472615227  366.7107575408243
  10.0  8.388608E7  575.8334493418891  744.5936384202429  334.96797633402537
  10.0  8.388608E7  576.70861433395  743.6676529231127  343.5609213530535
  10.0  8.388608E7  577.930820213385  755.2065178648281  299.75881664289784
  10.0  8.388608E7  575.0701658268079  745.6225098277881  326.03357666883016
  10.0  8.388608E7  572.8220231086503  747.5016731144044  304.8213590900723
  10.0  8.388608E7  570.562173987852  739.2971188076315  325.98112222616146
  10.0  8.388608E7  568.4345225998865  747.0712062989937  286.6961374320899
  10.0  8.388608E7  582.7810463037647  751.3311752675781  342.4684476886752
  10.0  8.388608E7  578.1869849096109  750.4743594504968  320.0389007569812
