   MB       Rsize        avg              max                  min
  10.0  8.388608E7  584.6484170614722  752.8960918681644  341.65472976635164
  10.0  8.388608E7  567.9757539477899  732.135847684012  352.2985339042142
  10.0  8.388608E7  588.8459862594977  758.7231351021053  337.20303263819494
  10.0  8.388608E7  577.8549131761037  754.8659141349652  303.54564693379444
  10.0  8.388608E7  585.2157978093176  759.438036346206  320.1949737107384
  10.0  8.388608E7  576.336464798727  743.5933755686697  339.78391129200685
  10.0  8.388608E7  575.6164273140613  748.2289497624058  318.8771344432006
  10.0  8.388608E7  581.4964591076567  747.1569552603215  352.00896941492596
  10.0  8.388608E7  572.4375337907027  742.2531909434836  322.8911929488607
  10.0  8.388608E7  579.1255148465898  741.801345518627  377.2210934953911
  10.0  8.388608E7  586.9886540272961  752.6131820313192  365.0432539383313
  10.0  8.388608E7  588.2682899447383  755.5575685588916  360.92665846922847
  10.0  8.388608E7  576.7225008635845  739.921873393403  370.43136020460275
  10.0  8.388608E7  576.9699399953241  745.4666414120443  334.1534425558911
  10.0  8.388608E7  596.5255463868955  762.3883112929759  372.3611134972361
  10.0  8.388608E7  601.126367804004  765.446838727152  384.7884924183464
  10.0  8.388608E7  578.415742074723  752.7248054451899  311.52904763006893
  10.0  8.388608E7  555.9040985492941  727.1935413716383  326.5510706514029
  10.0  8.388608E7  574.4604610581503  741.1696683182569  337.05479922133736
  10.0  8.388608E7  592.3567099383129  752.9703791311878  416.2704871011827
  10.0  8.388608E7  592.1326653257432  756.5209506218702  377.68763416113023
  10.0  8.388608E7  578.9552753626712  743.4184418640281  363.3385156023735
  10.0  8.388608E7  583.6858412796279  751.7082813004009  340.1466951774442
  10.0  8.388608E7  593.2672414686738  759.3759496444429  363.1403440787211
  10.0  8.388608E7  576.89288452101  744.4103355259826  340.86196464471556
  10.0  8.388608E7  589.3855580098308  759.4080968607892  342.2990916007596
  10.0  8.388608E7  573.9886104979424  750.8242097827074  301.3251893409336
  10.0  8.388608E7  598.4663400001846  763.1705882289426  377.39075254011703
  10.0  8.388608E7  590.1652386650267  758.7166380735861  357.58584047352014
  10.0  8.388608E7  567.6180579914278  738.039296869783  321.3288774460081
  10.0  8.388608E7  574.1550886425437  748.3627074801848  302.60986057276006
  10.0  8.388608E7  581.1765263104089  753.191660988879  326.5188583489507
  10.0  8.388608E7  603.0818875959484  768.8330796619856  379.913155448921
  10.0  8.388608E7  585.0359991323047  748.2835396916807  376.9855520536874
  10.0  8.388608E7  573.6201318921087  742.760142620987  333.9583909842867
  10.0  8.388608E7  582.8394260722739  758.4598867239471  310.1603375772938
  10.0  8.388608E7  578.6894228049705  746.6155670885599  352.660495480529
  10.0  8.388608E7  573.755000594934  745.2761716338355  319.3190362532671
  10.0  8.388608E7  589.1976201224315  754.283573744094  372.3588266962434
  10.0  8.388608E7  593.6145315193357  762.4020604632035  351.8300799445397
  10.0  8.388608E7  562.7078014769054  733.8808895689332  311.3054060344531
  10.0  8.388608E7  592.6427081706935  756.9503943119328  377.4362665942381
  10.0  8.388608E7  578.8729565740599  746.1446693827965  342.4037930231957
  10.0  8.388608E7  587.5862203997065  752.471700634458  366.73526252405105
  10.0  8.388608E7  577.309785976286  747.9854092509296  328.0417269567833
  10.0  8.388608E7  565.6363352510044  739.8319145373024  294.19466512053947
  10.0  8.388608E7  592.3937780510488  759.1147931951757  362.3528906310763
  10.0  8.388608E7  579.6913541835179  742.1614560516541  378.0375358696268
  10.0  8.388608E7  595.4061306627267  762.5448395740538  360.7810527219475
  10.0  8.388608E7  583.1919131601929  756.1414304169647  323.2895271072704
  10.0  8.388608E7  596.1944543729035  767.7445203805507  341.9413791628191
  10.0  8.388608E7  565.4430917300808  740.7501463526946  297.38833753206853
  10.0  8.388608E7  580.910989086123  749.4652580086874  338.2982614981205
  10.0  8.388608E7  583.9751238596242  756.0163803198333  322.0829153051111
  10.0  8.388608E7  584.3589315354785  744.9469014953672  408.1173161395579
  10.0  8.388608E7  576.2786136123655  750.9261757621994  299.03460997392943
  10.0  8.388608E7  591.8312956512033  760.3265598550805  350.4129094895636
  10.0  8.388608E7  592.0347412966943  753.9855031588511  396.877805680878
  10.0  8.388608E7  589.7922629361218  755.7618327336241  366.344755038403
  10.0  8.388608E7  575.7882000096854  738.3010598188794  374.6460333040743
