   MB       Rsize        avg              max                  min
  10.0  8.388608E7  576.3522860020006  748.753111999125  314.8392141414862
  10.0  8.388608E7  571.612542991938  745.4756143989098  310.28726002733123
  10.0  8.388608E7  580.0896324943119  751.000983350103  325.19966689320523
  10.0  8.388608E7  580.1913609666607  747.6177828450946  345.47568607347006
  10.0  8.388608E7  584.4990223325178  760.01125378712  317.4532594482979
  10.0  8.388608E7  576.5185053837955  745.9209202549407  332.24027903398326
  10.0  8.388608E7  579.1400007113627  749.172038967223  331.4812618191507
  10.0  8.388608E7  577.4656526560294  753.2411088915509  304.7896927603452
  10.0  8.388608E7  569.2350810836945  740.6490305416067  318.42427987797436
  10.0  8.388608E7  571.8690362079844  744.5370782091104  315.72573927051025
  10.0  8.388608E7  589.0801340099389  756.357125982994  355.11310262815425
  10.0  8.388608E7  587.6596767105714  750.116788822209  384.8204795625125
  10.0  8.388608E7  583.4614707518128  755.9618290107217  326.804974729522
  10.0  8.388608E7  599.3011451117552  767.9194653746691  362.85312118687665
  10.0  8.388608E7  578.9443820297862  751.5091336806618  317.2726469957952
  10.0  8.388608E7  584.4619518445501  758.0924051721244  328.2280531869877
  10.0  8.388608E7  575.8487051407126  747.8367784350472  320.2694389390921
  10.0  8.388608E7  577.5693612841137  744.6629275142884  342.14824639709764
  10.0  8.388608E7  580.7891068254004  754.741883682306  317.1895732544945
  10.0  8.388608E7  586.2254341997652  755.3085423133243  341.09069754466583
  10.0  8.388608E7  577.8322332670458  750.8091154904919  318.84502905831937
  10.0  8.388608E7  580.5681718193503  757.2866025121159  298.72771833216495
  10.0  8.388608E7  575.8871151871581  744.2795129984388  335.9801572195051
  10.0  8.388608E7  594.2332934835783  763.2196836156756  348.71685496262796
  10.0  8.388608E7  569.3164419924505  746.0446795707217  298.52360548153445
  10.0  8.388608E7  579.3852378516804  749.4213967285531  333.71335284685046
  10.0  8.388608E7  567.6674490436328  740.7280058750425  305.71369173654284
  10.0  8.388608E7  582.3685675170236  753.4274353500904  331.27926578392055
  10.0  8.388608E7  580.1165459031175  752.3279592423638  323.3940657990718
  10.0  8.388608E7  576.169882647195  745.4158042243376  327.8777573681457
  10.0  8.388608E7  578.5091814582765  746.5320697632721  341.384430346009
  10.0  8.388608E7  574.2800622489962  747.9323770880683  314.7647881093181
  10.0  8.388608E7  577.1134227505671  752.0971492553464  310.78867941139293
  10.0  8.388608E7  588.8958245739226  756.7380462267832  350.98782652808865
  10.0  8.388608E7  576.1859318734491  743.3739940786037  345.0654088505947
  10.0  8.388608E7  576.7410929232353  748.1445850313424  323.5961592879383
  10.0  8.388608E7  579.8749248820392  749.4822308622176  334.23499766201803
  10.0  8.388608E7  577.7368970829025  746.2886266966782  342.83192850384114
  10.0  8.388608E7  576.2323226711868  745.2533160544922  336.40936440756303
  10.0  8.388608E7  588.6085747739147  754.2495648183304  364.4929520931693
  10.0  8.388608E7  574.8351023968708  744.0443891203261  328.886417149314
  10.0  8.388608E7  574.7658891481825  744.8670745792596  326.2342227939036
  10.0  8.388608E7  585.80791117638  759.3105670145907  328.28257061199497
  10.0  8.388608E7  580.4603974625531  752.9751187702245  319.7744122323769
  10.0  8.388608E7  584.7768130605815  753.984091846716  339.6292585335888
  10.0  8.388608E7  593.9930361142133  765.3303763103046  342.2160297090958
  10.0  8.388608E7  591.0404165349923  757.0343480231211  363.6903113608645
  10.0  8.388608E7  579.4204261480384  751.0934172998817  328.0592461234229
  10.0  8.388608E7  573.6104188505643  751.76810147238  299.4837060003455
  10.0  8.388608E7  581.5370394272556  749.6366969868074  348.7977827458872
  10.0  8.388608E7  570.959144216273  742.024437372188  319.6721159047495
  10.0  8.388608E7  583.034392863479  757.9661278815914  317.7814986840098
  10.0  8.388608E7  571.2970393607641  741.6527280006604  318.27938732038706
  10.0  8.388608E7  595.4300082134902  765.4845943665545  348.7788971904886
  10.0  8.388608E7  577.8726322755105  755.9607477949162  299.95531626421587
  10.0  8.388608E7  571.5990576281046  743.0465604416333  317.91350599960003
  10.0  8.388608E7  587.026603030018  758.61445569275  331.74944044691324
  10.0  8.388608E7  591.1778012199081  758.5900292644699  357.8830831880939
  10.0  8.388608E7  568.4360328653455  738.9302684425306  315.25132098190426
  10.0  8.388608E7  575.9241367836587  743.3158202764098  339.2756858140653
  10.0  8.388608E7  576.6949086676229  748.285416894471  312.6365526485947
  10.0  8.388608E7  578.1024614735392  749.6466371571469  325.4053424228395
  10.0  8.388608E7  576.217383467652  749.1739078360738  309.7836065514246
  10.0  8.388608E7  595.3177653305975  761.410869753567  370.75590576708066
  10.0  8.388608E7  565.6736494603825  737.9680142912097  307.3972226233626
  10.0  8.388608E7  583.7010529621267  752.503374782798  339.86641361950586
  10.0  8.388608E7  586.1751944430616  758.4198409054264  328.24798423426614
  10.0  8.388608E7  581.0649741348931  746.36390837588  360.2364576679683
  10.0  8.388608E7  577.2121658024428  749.0640244965133  319.78885236811436
  10.0  8.388608E7  579.4028690444494  752.5983472430189  325.3467236793231
  10.0  8.388608E7  579.4307238586185  751.1807137067958  322.5053635073785
  10.0  8.388608E7  580.9879226227105  750.7408651670428  332.0009851844354
  10.0  8.388608E7  583.493791159698  752.655666821338  343.0557226210964
  10.0  8.388608E7  567.7714475836018  738.1880688673778  316.54680000631214
  10.0  8.388608E7  565.422642914897  742.5967937620327  286.5121204796713
  10.0  8.388608E7  587.4688705254136  756.36654756084  345.7030268594266
  10.0  8.388608E7  563.713873381148  732.890560643239  327.0352363208431
  10.0  8.388608E7  576.0782624456737  751.4449804676475  305.4378187040308
  10.0  8.388608E7  577.6537921129875  752.2416317119113  314.5943397970967
  10.0  8.388608E7  576.954375304805  745.9679946528938  332.2711996252397
  10.0  8.388608E7  577.0584758649943  742.4059356710156  357.1455506406069
  10.0  8.388608E7  579.4730955366341  754.002069366367  315.4558893794584
  10.0  8.388608E7  575.745862358955  745.2152008289124  329.6127052484174
  10.0  8.388608E7  583.8355392917812  751.4425134657183  349.01115255018647
  10.0  8.388608E7  574.294362258496  744.2177091488127  325.97508876389713
  10.0  8.388608E7  573.9156336010134  750.0086881717785  301.0791059135133
  10.0  8.388608E7  582.452377345089  757.6340284584378  314.29735301108485
  10.0  8.388608E7  587.8779303787496  758.5437364118146  332.8211836696008
  10.0  8.388608E7  579.8015869276097  751.9222606667257  320.31360148310455
  10.0  8.388608E7  578.0898300650663  747.1488167145654  332.8854796740856
  10.0  8.388608E7  579.3189352335647  745.6504154891732  350.19095625669473
  10.0  8.388608E7  581.4147885028588  755.2135776083425  317.5407893603134
  10.0  8.388608E7  587.4495104351319  754.4412824319219  357.9662998225689
  10.0  8.388608E7  580.4758098762986  748.2440509025671  344.2561043257345
  10.0  8.388608E7  580.4637652124119  756.3865903080143  312.9953037985086
  10.0  8.388608E7  576.3199613345927  747.2153346974085  322.3102700040117
  10.0  8.388608E7  581.1723258439317  749.2933741769127  342.9353727942854
  10.0  8.388608E7  577.8783874679891  744.7004187998697  349.8131461692171
  10.0  8.388608E7  566.1831037640508  733.1528273647679  333.31182361043324
  10.0  8.388608E7  584.1134065599591  759.3347198149823  320.4809153416169
